country,country_code,continent,sub_region,year,human_development_index,corruption_perception_index,population,life_exp,gdp_per_capita
Finland,FIN,Europe,Northern Europe,1998,0.839,9.6,5153229,77.09073171,25989.4075
France,FRA,Europe,Western Europe,1998,0.839,6.7,58867465,78.60487805,24974.2722
Gabon,GAB,Africa,Sub-Saharan Africa,1998,0.641,NA,1173114,59.804,3827.975793
Georgia,GEO,Asia,Western Asia,1998,NA,NA,4859954,71.274,805.272688
Germany,DEU,Europe,Western Europe,1998,0.85,7.9,82010184,77.47560976,27340.67288
Ghana,GHA,Africa,Sub-Saharan Africa,1998,0.477,3.3,17969006,57.032,414.768461
Greece,GRC,Europe,Southern Europe,1998,0.792,4.9,10859311,77.83902439,13472.13764
Grenada,GRD,Americas,Latin America and the Caribbean,1998,NA,NA,101302,69.934,4401.421321
Guatemala,GTM,Americas,Latin America and the Caribbean,1998,0.531,3.1,11136814,66.817,1742.083824
Guinea,GIN,Africa,Sub-Saharan Africa,1998,0.309,NA,8497582,51.434,421.9982034
Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,1998,NA,NA,1260424,51.86,172.0601413
Guyana,GUY,Americas,Latin America and the Caribbean,1998,0.599,NA,737316,64.63,946.6703474
Haiti,HTI,Americas,Latin America and the Caribbean,1998,0.435,NA,8258484,57.209,450.9192823
Honduras,HND,Americas,Latin America and the Caribbean,1998,0.548,1.7,5985675,70.001,1028.151411
Hungary,HUN,Europe,Eastern Europe,1998,0.754,5,10282937,70.55780488,4750.414875
Iceland,ISL,Europe,Northern Europe,1998,0.843,9.3,275568,79.60243902,30847.6437
India,IND,Asia,Southern Asia,1998,0.481,2.9,1016402907,61.761,409.1943859
Indonesia,IDN,Asia,South-eastern Asia,1998,0.59,2,205753493,65.866,463.9685753
Iraq,IRQ,Asia,Western Asia,1998,0.596,NA,22200835,69.122,NA
Ireland,IRL,Europe,Northern Europe,1998,0.84,8.2,3743948,76.1804878,24263.24006
Israel,ISR,Asia,Western Asia,1998,0.839,7.1,5764197,78.14878049,19423.75323
Italy,ITA,Europe,Southern Europe,1998,0.818,4.6,57010940,78.97560976,22252.35809
Jamaica,JAM,Americas,Latin America and the Caribbean,1998,0.678,3.8,2558241,72.116,3355.797804
Japan,JPN,Asia,Eastern Asia,1998,0.848,5.8,125266403,80.50146341,31902.7671
Jordan,JOR,Asia,Western Asia,1998,0.697,4.7,4621329,71.386,1605.614581
Kazakhstan,KAZ,Asia,Central Asia,1998,0.672,NA,15238339,64.56097561,1468.701798
Kenya,KEN,Africa,Sub-Saharan Africa,1998,0.45,2.5,29564614,52.106,473.4327212
Kiribati,KIR,Oceania,Micronesia,1998,NA,NA,81556,63.469,801.1629805
Kuwait,KWT,Asia,Western Asia,1998,0.78,NA,1766247,73.004,14126.8751
Latvia,LVA,Europe,Northern Europe,1998,0.705,2.7,2414650,69.01219512,2977.148772
Lebanon,LBN,Asia,Western Asia,1998,NA,NA,3113960,73.473,5538.680283
Lesotho,LSO,Africa,Sub-Saharan Africa,1998,0.454,NA,1821632,51.75,506.9946049
Liberia,LBR,Africa,Sub-Saharan Africa,1998,NA,NA,2558085,52.082,NA
Libya,LBY,Africa,Northern Africa,1998,0.723,NA,5153764,70.241,5244.88031
Lithuania,LTU,Europe,Northern Europe,1998,0.736,NA,3544668,71.2195122,3166.895648
Luxembourg,LUX,Europe,Western Europe,1998,0.834,8.7,425830,77.01707317,47584.46439
Madagascar,MDG,Africa,Sub-Saharan Africa,1998,NA,NA,14790245,57.028,252.4652058
Malawi,MWI,Africa,Sub-Saharan Africa,1998,0.389,4.1,10563554,46.369,163.5335012
Malaysia,MYS,Asia,South-eastern Asia,1998,0.709,5.3,22358128,72.422,3263.520983
Maldives,MDV,Asia,Southern Asia,1998,0.562,NA,270292,68.144,2006.25691
Mali,MLI,Africa,Sub-Saharan Africa,1998,0.281,NA,10444822,47.103,281.3221274
Malta,MLT,Europe,Southern Europe,1998,0.776,NA,381844,77.38780488,10183.67599
Mauritania,MRT,Africa,Sub-Saharan Africa,1998,0.436,NA,2551429,59.855,539.4253598
Mauritius,MUS,Africa,Sub-Saharan Africa,1998,0.662,5,1165288,70.60731707,3593.234081
Mexico,MEX,Americas,Latin America and the Caribbean,1998,0.689,3.3,99632299,73.814,5327.811901
Mongolia,MNG,Asia,Eastern Asia,1998,0.575,NA,2355588,62.063,477.3497294
Montenegro,MNE,Europe,Southern Europe,1998,NA,NA,616308,73.417,NA
Morocco,MAR,Africa,Northern Africa,1998,0.51,3.7,28292299,67.889,1469.031945
Mozambique,MOZ,Africa,Sub-Saharan Africa,1998,0.28,NA,17317376,47.309,284.373291
Myanmar,MMR,Asia,South-eastern Asia,1998,0.408,NA,46509586,61.467,NA
Namibia,NAM,Africa,Sub-Saharan Africa,1998,0.568,5.3,1809920,57.517,2113.442778
Nepal,NPL,Asia,Southern Asia,1998,0.432,NA,22866496,60.909,212.4689465
Netherlands,NLD,Europe,Western Europe,1998,0.869,9,15721627,77.88292683,27533.60679
New Zealand,NZL,Oceania,Australia and New Zealand,1998,0.863,9.4,3783516,78.08536585,14738.58354
Nicaragua,NIC,Americas,Latin America and the Caribbean,1998,0.552,3,4869627,68.808,951.8733523
Niger,NER,Africa,Sub-Saharan Africa,1998,0.249,NA,10432657,48.622,196.7250241
Nigeria,NGA,Africa,Sub-Saharan Africa,1998,NA,1.9,116860691,45.992,469.1643966
Norway,NOR,Europe,Northern Europe,1998,0.906,9,4440109,78.32926829,34788.77856
Oman,OMN,Asia,Western Asia,1998,NA,NA,2224922,71.198,6254.953411
Pakistan,PAK,Asia,Southern Asia,1998,0.441,2.7,132013680,62.22,470.2489295
Panama,PAN,Americas,Latin America and the Caribbean,1998,0.71,NA,2911383,74.7,3974.650657
Papua New Guinea,PNG,Oceania,Melanesia,1998,0.411,NA,5101633,61.254,716.1813522
Paraguay,PRY,Americas,Latin America and the Caribbean,1998,0.622,1.5,5089306,69.556,1819.594714
Peru,PER,Americas,Latin America and the Caribbean,1998,0.664,4.5,25199744,69.544,2202.461226
Philippines,PHL,Asia,South-eastern Asia,1998,0.613,3.3,74656228,66.851,966.7084855
Poland,POL,Europe,Eastern Europe,1998,0.768,4.6,38550777,72.99756098,4510.413117
Portugal,PRT,Europe,Southern Europe,1998,0.779,6.5,10198310,75.71219512,12202.69141
Qatar,QAT,Asia,Western Asia,1998,0.804,NA,548618,76.045,18631.78792
Romania,ROU,Europe,Eastern Europe,1998,0.697,3,22458737,69.80731707,1864.991387
Rwanda,RWA,Africa,Sub-Saharan Africa,1998,0.3,NA,7047196,43.596,281.7841627
Samoa,WSM,Oceania,Polynesia,1998,0.635,NA,172979,68.612,1557.867761
Sao Tome and Principe,STP,Africa,Sub-Saharan Africa,1998,0.483,NA,132284,63.041,NA
Saudi Arabia,SAU,Asia,Western Asia,1998,0.736,NA,20302193,71.902,7382.1606
Senegal,SEN,Africa,Sub-Saharan Africa,1998,0.376,3.3,9386923,57.383,676.1519926
Serbia,SRB,Europe,Southern Europe,1998,0.707,NA,9669648,NA,2416.069077
Seychelles,SYC,Africa,Sub-Saharan Africa,1998,NA,NA,79213,71.74634146,7715.918147
Sierra Leone,SLE,Africa,Sub-Saharan Africa,1998,0.286,NA,3878475,37.055,154.4397334
Singapore,SGP,Asia,South-eastern Asia,1998,0.801,9.1,3735531,77.3,21824.03558
Slovenia,SVN,Europe,Southern Europe,1998,0.805,NA,1988166,74.80731707,11165.27633
Solomon Islands,SLB,Oceania,Melanesia,1998,NA,NA,390489,61.788,1206.157561
South Africa,ZAF,Africa,Sub-Saharan Africa,1998,0.641,5.2,43584030,58.548,3104.97641
South Sudan,SSD,Africa,Sub-Saharan Africa,1998,NA,NA,6092688,48.386,NA
Spain,ESP,Europe,Southern Europe,1998,0.815,6.1,40151723,78.66585366,15340.33211
Sri Lanka,LKA,Asia,Southern Asia,1998,0.669,NA,18572347,69.744,850.5318591
Sudan,SDN,Africa,Northern Africa,1998,0.388,NA,26777059,57.718,350.4396796
Suriname,SUR,Americas,Latin America and the Caribbean,1998,NA,NA,469108,67.781,2406.729353
Sweden,SWE,Europe,Northern Europe,1998,0.867,9.5,8861204,79.33902439,30143.62746
Switzerland,CHE,Europe,Western Europe,1998,0.872,8.9,7113505,79.32439024,41497.20261
Tajikistan,TJK,Asia,Central Asia,1998,0.528,NA,6012308,64.591,219.226346
Thailand,THA,Asia,South-eastern Asia,1998,0.63,3,61250974,70.346,1845.466238
Timor-Leste,TLS,Asia,South-eastern Asia,1998,NA,NA,845106,57.325,NA
Togo,TGO,Africa,Sub-Saharan Africa,1998,0.424,NA,4624826,53.72,339.2473068
Tonga,TON,Oceania,Polynesia,1998,0.673,NA,96937,70.541,1942.523265
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,1998,0.703,NA,1262544,68.452,4786.92537
Tunisia,TUN,Africa,Northern Africa,1998,0.635,5,9499387,72.586,2295.237988
Turkey,TUR,Asia,Western Asia,1998,0.632,3.4,61344874,68.807,4496.509486
Turkmenistan,TKM,Asia,Central Asia,1998,NA,NA,4395293,63.237,590.3934846
Uganda,UGA,Africa,Sub-Saharan Africa,1998,0.366,2.6,22336812,45.397,291.9864072
Ukraine,UKR,Europe,Eastern Europe,1998,0.665,2.8,49655175,67.98878049,835.2603274
United Arab Emirates,ARE,Asia,Western Asia,1998,0.785,NA,2733770,73.732,26663.3087
Uruguay,URY,Americas,Latin America and the Caribbean,1998,0.735,4.3,3292134,74.341,7711.07657
Uzbekistan,UZB,Asia,Central Asia,1998,NA,NA,23845788,66.782,623.2161328
Vanuatu,VUT,Oceania,Melanesia,1998,NA,NA,178074,66.634,1472.957091
Zambia,ZMB,Africa,Sub-Saharan Africa,1998,0.413,3.5,10034412,43.653,355.5380307
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,1998,0.442,4.2,12226742,46.705,538.2848555
Afghanistan,AFG,Asia,Southern Asia,1999,0.338,NA,19038420,54.959,NA
Albania,ALB,Europe,Southern Europe,1999,0.656,2.3,3114851,73.588,1033.242532
Algeria,DZA,Africa,Northern Africa,1999,0.636,NA,30766551,69.822,1581.004564
Angola,AGO,Africa,Sub-Saharan Africa,1999,0.382,NA,14601983,46.105,385.7688535
Argentina,ARG,Americas,Latin America and the Caribbean,1999,0.764,3,36648054,73.618,7736.369623
Armenia,ARM,Asia,Western Asia,1999,0.639,2.5,3093820,70.944,597.4334817
Australia,AUS,Oceania,Australia and New Zealand,1999,0.897,8.7,18906936,78.93170732,20521.77757
Austria,AUT,Europe,Western Europe,1999,0.833,7.6,8032953,77.87560976,27174.29716
Azerbaijan,AZE,Asia,Western Asia,1999,0.636,1.7,8047997,66.491,573.8932966
Bahrain,BHR,Asia,Western Asia,1999,0.786,NA,640904,74.239,10401.48045
Bangladesh,BGD,Asia,Southern Asia,1999,0.459,NA,128746273,64.702,397.3548219
Barbados,BRB,Americas,Latin America and the Caribbean,1999,0.741,NA,268920,73.213,11200.57763
Belarus,BLR,Europe,Eastern Europe,1999,0.675,3.4,10005259,67.90731707,1210.61172
Belgium,BEL,Europe,Western Europe,1999,0.869,5.3,10237402,77.6195122,25444.13926
Belize,BLZ,Americas,Latin America and the Caribbean,1999,0.668,NA,239024,68.4,3065.492248
Benin,BEN,Africa,Sub-Saharan Africa,1999,0.389,NA,6740491,55.218,403.6237038
Bhutan,BTN,Asia,Southern Asia,1999,NA,NA,548387,59.899,751.5757717
Bosnia and Herzegovina,BIH,Europe,Southern Europe,1999,NA,NA,3784389,74.057,1246.497114
Botswana,BWA,Africa,Sub-Saharan Africa,1999,0.559,6.1,1708368,49.712,3226.295674
Brazil,BRA,Americas,Latin America and the Caribbean,1999,0.677,4.1,173153066,69.599,3469.502237
Bulgaria,BGR,Europe,Eastern Europe,1999,0.709,3.3,8066219,71.41219512,1648.104859
Burkina Faso,BFA,Africa,Sub-Saharan Africa,1999,NA,NA,11283016,50.168,265.3401156
Burundi,BDI,Africa,Sub-Saharan Africa,1999,0.268,NA,6623707,51.213,128.6964397
Cambodia,KHM,Asia,South-eastern Asia,1999,0.401,NA,11928306,57.604,295.9735957
Cameroon,CMR,Africa,Sub-Saharan Africa,1999,0.433,1.5,15514249,49.7,751.9782914
Canada,CAN,Americas,Northern America,1999,0.864,9.2,30420216,78.88292683,22167.22585
Central African Republic,CAF,Africa,Sub-Saharan Africa,1999,0.312,NA,3653310,44.254,271.8551165
Chad,TCD,Africa,Sub-Saharan Africa,1999,NA,NA,8042713,47.59,190.8359826
Chile,CHL,Americas,Latin America and the Caribbean,1999,0.755,6.9,14980484,76.533,4986.007417
China,CHN,Asia,Eastern Asia,1999,0.583,3.4,1262713651,71.521,873.2870617
Colombia,COL,Americas,Latin America and the Caribbean,1999,0.65,2.9,39819279,70.727,2164.432929
Comoros,COM,Africa,Sub-Saharan Africa,1999,NA,NA,533909,59.388,723.1850928
Costa Rica,CRI,Americas,Latin America and the Caribbean,1999,0.702,5.1,3848725,77.288,3688.398293
Croatia,HRV,Europe,Southern Europe,1999,0.739,2.7,4456298,72.64195122,5135.473343
Cuba,CUB,Americas,Latin America and the Caribbean,1999,0.679,NA,11080506,76.437,2553.06976
Cyprus,CYP,Asia,Western Asia,1999,0.798,NA,925491,77.876,15457.64436
Denmark,DNK,Europe,Northern Europe,1999,0.86,10,5319410,76.34146341,33440.80162
Djibouti,DJI,Africa,Sub-Saharan Africa,1999,0.361,NA,710652,56.992,765.7204882
Dominica,DMA,Americas,Latin America and the Caribbean,1999,NA,NA,69902,NA,4745.990873
Dominican Republic,DOM,Americas,Latin America and the Caribbean,1999,0.651,NA,8429116,70.374,2626.326473
Ecuador,ECU,Americas,Latin America and the Caribbean,1999,0.668,2.4,12398691,72.624,1584.463443
El Salvador,SLV,Americas,Latin America and the Caribbean,1999,0.607,3.9,5775660,68.541,1937.139014
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,1999,NA,NA,513347,52.371,1052.852818
Eritrea,ERI,Africa,Sub-Saharan Africa,1999,NA,NA,3429656,54.693,208.6209747
Estonia,EST,Europe,Northern Europe,1999,0.764,5.7,1403821,70.06341463,4119.347394
Ethiopia,ETH,Africa,Sub-Saharan Africa,1999,NA,NA,64550161,51.366,119.1340818
Fiji,FJI,Oceania,Melanesia,1999,0.681,NA,806494,67.365,2408.165466
Finland,FIN,Europe,Northern Europe,1999,0.847,9.8,5164780,77.29121951,26178.79178
France,FRA,Europe,Western Europe,1999,0.844,6.6,59107738,78.75609756,24673.19897
Gabon,GAB,Africa,Sub-Saharan Africa,1999,0.637,NA,1202412,59.527,3883.325188
Georgia,GEO,Asia,Western Asia,1999,NA,2.3,4801695,71.596,628.8656569
Germany,DEU,Europe,Western Europe,1999,0.855,8,81965830,77.72682927,26795.99113
Ghana,GHA,Africa,Sub-Saharan Africa,1999,0.48,3.3,18384426,56.962,417.7679907
Greece,GRC,Europe,Southern Europe,1999,0.794,4.9,10910741,77.98780488,13245.18946
Grenada,GRD,Americas,Latin America and the Caribbean,1999,NA,NA,101441,70.131,4751.575978
Guatemala,GTM,Americas,Latin America and the Caribbean,1999,0.539,3.2,11408815,67.351,1608.684086
Guinea,GIN,Africa,Sub-Saharan Africa,1999,0.316,NA,8647336,51.273,399.9739644
Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,1999,NA,NA,1287727,52.079,183.8530201
Guyana,GUY,Americas,Latin America and the Caribbean,1999,0.602,NA,740189,64.785,919.8665766
Haiti,HTI,Americas,Latin America and the Caribbean,1999,0.439,NA,8404396,57.467,494.2336557
Honduras,HND,Americas,Latin America and the Caribbean,1999,0.551,1.8,6114534,70.288,1009.013299
Hungary,HUN,Europe,Eastern Europe,1999,0.761,5.2,10253110,70.67707317,4802.95876
Iceland,ISL,Europe,Northern Europe,1999,0.847,9.2,278376,79.35121951,32148.15015
India,IND,Asia,Southern Asia,1999,0.489,2.9,1034976626,62.179,437.5861178
Indonesia,IDN,Asia,South-eastern Asia,1999,0.597,1.7,208644079,66.087,671.107022
Iraq,IRQ,Asia,Western Asia,1999,0.603,NA,22888600,69.183,NA
Ireland,IRL,Europe,Northern Europe,1999,0.848,7.7,3788816,76.08292683,26284.2808
Israel,ISR,Asia,Western Asia,1999,0.845,6.8,5891263,78.65853659,19133.0482
Italy,ITA,Europe,Southern Europe,1999,0.823,4.7,57035249,79.42439024,21936.82313
Jamaica,JAM,Americas,Latin America and the Caribbean,1999,0.682,3.8,2579973,72.205,3359.384455
Japan,JPN,Asia,Eastern Asia,1999,0.852,6,125481050,80.57073171,36026.55608
Jordan,JOR,Asia,Western Asia,1999,0.7,4.4,4691402,71.556,1624.9791
Kazakhstan,KAZ,Asia,Central Asia,1999,0.676,2.3,15059994,65.5195122,1130.113592
Kenya,KEN,Africa,Sub-Saharan Africa,1999,0.448,2,30301240,51.805,421.4328846
Kiribati,KIR,Oceania,Micronesia,1999,NA,NA,82969,63.745,832.0547943
Kuwait,KWT,Asia,Western Asia,1999,0.786,NA,1853152,73.084,15391.34574
Latvia,LVA,Europe,Northern Europe,1999,0.716,3.4,2394521,69.74292683,3151.325802
Lebanon,LBN,Asia,Western Asia,1999,NA,NA,3156661,73.959,5509.346429
Lesotho,LSO,Africa,Sub-Saharan Africa,1999,0.445,NA,1839631,49.971,493.2493774
Liberia,LBR,Africa,Sub-Saharan Africa,1999,0.338,NA,2741755,52.314,NA
Libya,LBY,Africa,Northern Africa,1999,0.727,NA,5245414,70.352,6821.312519
Lithuania,LTU,Europe,Northern Europe,1999,0.745,3.8,3515218,71.57073171,3113.546428
Luxembourg,LUX,Europe,Western Europe,1999,0.848,8.8,431264,77.77073171,51654.4028
Madagascar,MDG,Africa,Sub-Saharan Africa,1999,NA,NA,15262817,57.782,243.2527515
Malawi,MWI,Africa,Sub-Saharan Africa,1999,0.391,4.1,10882543,46.355,160.7990288
Malaysia,MYS,Asia,South-eastern Asia,1999,0.715,5.1,22898579,72.616,3493.465229
Maldives,MDV,Asia,Southern Asia,1999,0.577,NA,275385,69.035,2146.718037
Mali,MLI,Africa,Sub-Saharan Africa,1999,0.291,NA,10736542,47.515,322.53868
Malta,MLT,Europe,Southern Europe,1999,0.779,NA,384663,77.3,10648.9889
Mauritania,MRT,Africa,Sub-Saharan Africa,1999,0.443,NA,2629806,59.957,534.7159444
Mauritius,MUS,Africa,Sub-Saharan Africa,1999,0.667,4.9,1175577,70.96097561,3651.232286
Mexico,MEX,Americas,Latin America and the Caribbean,1999,0.694,3.4,101266570,74.103,5984.341068
Mongolia,MNG,Asia,Eastern Asia,1999,0.582,4.3,2376165,62.446,445.0069434
Montenegro,MNE,Europe,Southern Europe,1999,NA,NA,614623,73.288,NA
Morocco,MAR,Africa,Northern Africa,1999,0.519,4.1,28630973,68.284,1444.989055
Mozambique,MOZ,Africa,Sub-Saharan Africa,1999,0.291,3.5,17774066,47.841,301.539472
Myanmar,MMR,Asia,South-eastern Asia,1999,0.417,NA,47106923,61.802,NA
Namibia,NAM,Africa,Sub-Saharan Africa,1999,0.559,5.3,1857320,56.533,2055.364975
Nepal,NPL,Asia,Southern Asia,1999,0.439,NA,23315053,61.661,215.9805921
Netherlands,NLD,Europe,Western Europe,1999,0.873,9,15806771,77.83658537,27951.73429
New Zealand,NZL,Oceania,Australia and New Zealand,1999,0.864,9.4,3817489,77.8902439,15322.22383
Nicaragua,NIC,Americas,Latin America and the Caribbean,1999,0.562,3.1,4949661,69.272,981.0204892
Niger,NER,Africa,Sub-Saharan Africa,1999,0.253,NA,10821434,49.253,184.3464766
Nigeria,NGA,Africa,Sub-Saharan Africa,1999,NA,1.6,119826231,46.101,497.5619697
Norway,NOR,Europe,Northern Europe,1999,0.911,8.9,4466468,78.28292683,36371.39579
Oman,OMN,Asia,Western Asia,1999,NA,NA,2225481,71.664,6967.059664
Pakistan,PAK,Asia,Southern Asia,1999,0.445,2.2,135158132,62.476,465.0757661
Panama,PAN,Americas,Latin America and the Caribbean,1999,0.716,NA,2970193,74.895,4082.614583
Papua New Guinea,PNG,Oceania,Melanesia,1999,0.418,NA,5236863,61.538,640.2820458
Paraguay,PRY,Americas,Latin America and the Caribbean,1999,0.625,2,5196935,69.808,1700.438207
Peru,PER,Americas,Latin America and the Caribbean,1999,0.674,4.5,25561297,70.036,1963.410567
Philippines,PHL,Asia,South-eastern Asia,1999,0.618,3.6,76285225,67.019,1087.237348
Poland,POL,Europe,Eastern Europe,1999,0.777,4.2,38515359,73.04390244,4389.976415
Portugal,PRT,Europe,Southern Europe,1999,0.777,6.7,10237593,75.96341463,12474.81808
Qatar,QAT,Asia,Western Asia,1999,0.808,NA,570643,76.164,21763.45098
Romania,ROU,Europe,Eastern Europe,1999,0.703,3.3,22288573,70.51219512,1610.13437
Rwanda,RWA,Africa,Sub-Saharan Africa,1999,0.318,NA,7585143,46.412,239.3780188
Samoa,WSM,Oceania,Polynesia,1999,0.64,NA,173758,68.967,1489.647875
Sao Tome and Principe,STP,Africa,Sub-Saharan Africa,1999,0.488,NA,134602,63.181,NA
Saudi Arabia,SAU,Asia,Western Asia,1999,0.737,NA,20825955,72.187,7968.548574
Senegal,SEN,Africa,Sub-Saharan Africa,1999,0.378,3.4,9617641,57.533,675.1230202
Serbia,SRB,Europe,Southern Europe,1999,0.702,NA,9559819,NA,2441.430389
Seychelles,SYC,Africa,Sub-Saharan Africa,1999,NA,NA,80066,72.66829268,7747.612159
Sierra Leone,SLE,Africa,Sub-Saharan Africa,1999,0.292,NA,3948800,37.822,150.8369725
Singapore,SGP,Asia,South-eastern Asia,1999,0.81,9.1,3822619,77.55121951,21795.69696
Slovenia,SVN,Europe,Southern Europe,1999,0.818,6,1988527,75.0097561,11441.99702
Solomon Islands,SLB,Oceania,Melanesia,1999,0.455,NA,401319,62.449,1200.917702
South Africa,ZAF,Africa,Sub-Saharan Africa,1999,0.635,5,44233730,57.45,3032.305397
South Sudan,SSD,Africa,Sub-Saharan Africa,1999,NA,NA,6398416,48.825,NA
Spain,ESP,Europe,Southern Europe,1999,0.82,6.6,40392585,78.71707317,15678.21523
Sri Lanka,LKA,Asia,Southern Asia,1999,0.677,NA,18670843,70.296,838.6223944
Sudan,SDN,Africa,Northern Africa,1999,0.394,NA,27406808,58.07,323.5717952
Suriname,SUR,Americas,Latin America and the Caribbean,1999,NA,NA,475637,67.798,1897.826561
Sweden,SWE,Europe,Northern Europe,1999,0.873,9.4,8863595,79.44146341,30577.08177
Switzerland,CHE,Europe,Western Europe,1999,0.879,8.9,7136813,79.5804878,40581.30705
Tajikistan,TJK,Asia,Central Asia,1999,0.529,NA,6094126,65.053,177.6983688
Thailand,THA,Asia,South-eastern Asia,1999,0.64,3.2,61973957,70.462,2032.992147
Timor-Leste,TLS,Asia,South-eastern Asia,1999,NA,NA,841063,58.38,NA
Togo,TGO,Africa,Sub-Saharan Africa,1999,0.425,NA,4747665,53.544,326.6040699
Tonga,TON,Oceania,Polynesia,1999,0.676,NA,97398,70.674,2015.41817
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,1999,0.709,NA,1264781,68.489,5383.552427
Tunisia,TUN,Africa,Northern Africa,1999,0.646,5,9603733,72.883,2389.036036
Turkey,TUR,Asia,Western Asia,1999,0.641,3.6,62295617,69.417,4108.114652
