country,country_code,continent,sub_region,year,human_development_index,corruption_perception_index,population,life_exp,gdp_per_capita
Afghanistan,AFG,Asia,Southern Asia,1998,0.335,NA,18511480,54.468,NA
Albania,ALB,Europe,Southern Europe,1998,0.646,NA,3102898,73.208,813.7893966
Algeria,DZA,Africa,Northern Africa,1998,0.627,NA,30336880,69.367,1588.481449
Angola,AGO,Africa,Sub-Saharan Africa,1998,NA,NA,14187710,45.192,419.6398453
Argentina,ARG,Americas,Latin America and the Caribbean,1998,0.753,3,36241578,73.397,8248.761989
Armenia,ARM,Asia,Western Asia,1998,0.632,NA,3112958,70.434,609.1730254
Australia,AUS,Oceania,Australia and New Zealand,1998,0.894,8.7,18709175,78.63170732,21318.96417
Austria,AUT,Europe,Western Europe,1998,0.833,7.5,8023166,77.67073171,27361.87511
Azerbaijan,AZE,Asia,Western Asia,1998,0.626,NA,7984531,66.207,561.9070354
Bahrain,BHR,Asia,Western Asia,1998,0.783,NA,618054,74.033,10076.18778
Bangladesh,BGD,Asia,Southern Asia,1998,0.45,NA,126169583,64.038,395.2974607
Barbados,BRB,Americas,Latin America and the Caribbean,1998,0.734,NA,267949,73.043,10727.59584
Belarus,BLR,Europe,Eastern Europe,1998,0.67,3.9,10051298,68.40731707,1511.770053
Belgium,BEL,Europe,Western Europe,1998,0.865,5.4,10216867,77.47317073,25541.67472
Belize,BLZ,Americas,Latin America and the Caribbean,1998,0.661,NA,230289,68.568,2991.924971
Benin,BEN,Africa,Sub-Saharan Africa,1998,0.384,NA,6546493,55.139,379.442354
Bhutan,BTN,Asia,Southern Asia,1998,NA,NA,533506,59.055,695.2902533
Bosnia and Herzegovina,BIH,Europe,Southern Europe,1998,NA,NA,3775898,73.572,1097.644555
Botswana,BWA,Africa,Sub-Saharan Africa,1998,0.564,6.1,1678111,50.808,2869.182503
Brazil,BRA,Americas,Latin America and the Caribbean,1998,0.671,4,170516482,69.12,5075.631211
Bulgaria,BGR,Europe,Eastern Europe,1998,0.709,2.9,8131743,71.06097561,1809.683845
Burkina Faso,BFA,Africa,Sub-Saharan Africa,1998,NA,NA,10969093,49.914,255.7182334
Burundi,BDI,Africa,Sub-Saharan Africa,1998,0.268,NA,6511920,50.758,144.4746122
Cambodia,KHM,Asia,South-eastern Asia,1998,0.396,NA,11641509,56.862,269.054641
Cameroon,CMR,Africa,Sub-Saharan Africa,1998,0.438,1.4,15108630,49.538,730.7326938
Canada,CAN,Americas,Northern America,1998,0.861,9.2,30145148,78.66243902,20887.83947
Central African Republic,CAF,Africa,Sub-Saharan Africa,1998,0.309,NA,3577028,44.675,268.9004231
Chad,TCD,Africa,Sub-Saharan Africa,1998,NA,NA,7760157,47.582,224.8661479
Chile,CHL,Americas,Latin America and the Caribbean,1998,0.748,6.8,14788609,76.259,5479.498064
China,CHN,Asia,Eastern Asia,1998,0.574,3.5,1255262566,71.115,828.5804793
Colombia,COL,Americas,Latin America and the Caribbean,1998,0.65,2.2,39234059,70.416,2509.139633
Comoros,COM,Africa,Sub-Saharan Africa,1998,NA,NA,520180,59.294,718.1170893
Costa Rica,CRI,Americas,Latin America and the Caribbean,1998,0.699,5.6,3767369,77.119,3614.562534
Croatia,HRV,Europe,Southern Europe,1998,0.73,NA,4491742,72.31707317,5650.332015
Cuba,CUB,Americas,Latin America and the Caribbean,1998,0.672,NA,11041893,76.203,2326.112221
Cyprus,CYP,Asia,Western Asia,1998,0.798,NA,908040,77.738,15247.29329
Denmark,DNK,Europe,Northern Europe,1998,0.848,10,5298680,76.13902439,33368.15485
Djibouti,DJI,Africa,Sub-Saharan Africa,1998,0.358,NA,698256,56.998,755.5962418
Dominica,DMA,Americas,Latin America and the Caribbean,1998,NA,NA,70295,NA,4586.852352
Dominican Republic,DOM,Americas,Latin America and the Caribbean,1998,0.645,NA,8296375,70.193,2612.288688
Ecuador,ECU,Americas,Latin America and the Caribbean,1998,0.671,2.3,12163887,72.297,2300.407884
El Salvador,SLV,Americas,Latin America and the Caribbean,1998,0.604,3.6,5736075,68.253,1892.581125
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,1998,NA,NA,496330,51.959,654.1473102
Eritrea,ERI,Africa,Sub-Saharan Africa,1998,NA,NA,3337227,54.126,231.2266102
Estonia,EST,Europe,Northern Europe,1998,0.758,5.7,1406388,69.35853659,4052.292271
Ethiopia,ETH,Africa,Sub-Saharan Africa,1998,NA,NA,62707547,50.836,124.5056232
Fiji,FJI,Oceania,Melanesia,1998,0.675,NA,800314,67.172,2070.165847
