country,country_code,continent,sub_region,year,human_development_index,corruption_perception_index,population,life_exp,gdp_per_capita
United Arab Emirates,ARE,Asia,Western Asia,2013,0.832,69,9039978,76.798,43315.14149
Uruguay,URY,Americas,Latin America and the Caribbean,2013,0.791,73,3407969,77.04,16881.20568
Uzbekistan,UZB,Asia,Central Asia,2013,0.69,17,29033361,70.844,1907.551233
Vanuatu,VUT,Oceania,Melanesia,2013,0.596,NA,253165,71.481,3167.343056
Zambia,ZMB,Africa,Sub-Saharan Africa,2013,0.57,38,15246086,59.982,1850.793359
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,2013,0.498,21,14898092,58.053,1268.126633
Afghanistan,AFG,Asia,Southern Asia,2014,0.479,12,31627506,62.895,625.3395388
Albania,ALB,Europe,Southern Europe,2014,0.762,33,2889676,77.963,4578.667934
Algeria,DZA,Africa,Northern Africa,2014,0.743,36,38934334,75.641,5466.425778
Angola,AGO,Africa,Sub-Saharan Africa,2014,0.531,19,24227524,60.858,5412.692348
Argentina,ARG,Americas,Latin America and the Caribbean,2014,0.826,34,42980026,76.252,12245.25645
Armenia,ARM,Asia,Western Asia,2014,0.741,37,3006154,74.255,3994.712355
Australia,AUS,Oceania,Australia and New Zealand,2014,0.937,80,23622353,82.3,62327.55594
Austria,AUT,Europe,Western Europe,2014,0.892,72,8516916,81.4902439,51704.54119
Azerbaijan,AZE,Asia,Western Asia,2014,0.758,29,9629779,71.8,7891.313147
Bahrain,BHR,Asia,Western Asia,2014,0.823,49,1361930,76.622,24983.37902
Bangladesh,BGD,Asia,Southern Asia,2014,0.575,25,159077513,71.803,1084.56543
Barbados,BRB,Americas,Latin America and the Caribbean,2014,0.794,74,283380,75.603,16261.79932
Belarus,BLR,Europe,Eastern Europe,2014,0.798,31,9500422,72.97073171,8318.51269
Belgium,BEL,Europe,Western Europe,2014,0.895,76,11226322,81.28780488,47351.97418
Belize,BLZ,Americas,Latin America and the Caribbean,2014,0.706,NA,351706,70.027,4813.718033
Benin,BEN,Africa,Sub-Saharan Africa,2014,0.481,39,10598482,60.373,943.686575
Bhutan,BTN,Asia,Southern Asia,2014,0.604,65,765008,69.43,2522.794953
Bosnia and Herzegovina,BIH,Europe,Southern Europe,2014,0.747,39,3817554,76.561,5204.243718
Botswana,BWA,Africa,Sub-Saharan Africa,2014,0.698,63,2219937,64.78,7493.752924
Brazil,BRA,Americas,Latin America and the Caribbean,2014,0.754,43,206077898,75.042,12026.61939
Bulgaria,BGR,Europe,Eastern Europe,2014,0.792,43,7201308,74.46585366,7864.760672
Burkina Faso,BFA,Africa,Sub-Saharan Africa,2014,0.399,38,17589198,59.457,703.8216565
Burundi,BDI,Africa,Sub-Saharan Africa,2014,0.406,20,10816860,56.688,273.538285
Cambodia,KHM,Asia,South-eastern Asia,2014,0.558,21,15328136,68.251,1093.762067
Cameroon,CMR,Africa,Sub-Saharan Africa,2014,0.514,27,22773014,57.111,1571.182535
Canada,CAN,Americas,Northern America,2014,0.919,81,35587793,81.95304878,50633.20882
Central African Republic,CAF,Africa,Sub-Saharan Africa,2014,0.347,24,4804316,50.621,377.1321263
Chad,TCD,Africa,Sub-Saharan Africa,2014,0.394,22,13587053,52.204,1025.998515
Chile,CHL,Americas,Latin America and the Caribbean,2014,0.845,73,17762647,79.117,14794.31583
China,CHN,Asia,Eastern Asia,2014,0.734,36,1369435670,75.932,7683.502613
Colombia,COL,Americas,Latin America and the Caribbean,2014,0.724,37,47791393,74.022,7974.406373
Comoros,COM,Africa,Sub-Saharan Africa,2014,0.498,26,769991,63.216,1511.826037
Costa Rica,CRI,Americas,Latin America and the Caribbean,2014,0.775,54,4757606,79.44,10630.9979
Croatia,HRV,Europe,Southern Europe,2014,0.823,48,4255853,77.47804878,13606.89344
Cuba,CUB,Americas,Latin America and the Caribbean,2014,0.773,46,11379111,79.415,7050.493249
Cyprus,CYP,Asia,Western Asia,2014,0.854,63,1153658,80.173,27400.80299
Denmark,DNK,Europe,Northern Europe,2014,0.923,92,5646899,80.7,62548.98502
Djibouti,DJI,Africa,Sub-Saharan Africa,2014,0.47,34,876174,62.006,1595.146365
Dominica,DMA,Americas,Latin America and the Caribbean,2014,0.724,58,72341,NA,7193.668111
Dominican Republic,DOM,Americas,Latin America and the Caribbean,2014,0.718,32,10405943,73.483,6348.837769
Ecuador,ECU,Americas,Latin America and the Caribbean,2014,0.739,33,15902916,75.879,6396.630483
El Salvador,SLV,Americas,Latin America and the Caribbean,2014,0.678,39,6107706,73.015,3595.790733
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,2014,0.582,NA,820885,57.18,19245.65151
Eritrea,ERI,Africa,Sub-Saharan Africa,2014,0.418,18,5110444,64.174,NA
Estonia,EST,Europe,Northern Europe,2014,0.863,69,1316203,77.03414634,19949.58138
Ethiopia,ETH,Africa,Sub-Saharan Africa,2014,0.441,33,96958732,64.535,571.1622759
Fiji,FJI,Oceania,Melanesia,2014,0.734,NA,886450,69.96,5061.397575
Finland,FIN,Europe,Northern Europe,2014,0.893,89,5479660,81.1804878,49914.61864
France,FRA,Europe,Western Europe,2014,0.894,69,64121249,82.67073171,43008.65257
Gabon,GAB,Africa,Sub-Saharan Africa,2014,0.694,37,1687673,65.211,9692.182125
Georgia,GEO,Asia,Western Asia,2014,0.768,52,4034774,72.951,4429.650075
Germany,DEU,Europe,Western Europe,2014,0.924,79,80646262,81.0902439,48042.56343
Ghana,GHA,Africa,Sub-Saharan Africa,2014,0.575,48,26786598,62.154,1987.983363
Greece,GRC,Europe,Southern Europe,2014,0.865,43,11000777,81.38536585,21760.9798
Grenada,GRD,Americas,Latin America and the Caribbean,2014,0.751,NA,106349,73.388,8569.926734
Guatemala,GTM,Americas,Latin America and the Caribbean,2014,0.637,32,16015494,72.869,3687.763767
Guinea,GIN,Africa,Sub-Saharan Africa,2014,0.414,25,12275527,58.846,743.5912878
Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,2014,0.421,19,1800513,56.598,610.4684902
Guyana,GUY,Americas,Latin America and the Caribbean,2014,0.638,30,763893,66.425,4031.531939
Haiti,HTI,Americas,Latin America and the Caribbean,2014,0.49,19,10572029,62.757,830.1138816
Honduras,HND,Americas,Latin America and the Caribbean,2014,0.623,29,7961680,73.181,2242.707459
Hungary,HUN,Europe,Eastern Europe,2014,0.834,54,9889540,75.76341463,14201.44883
Iceland,ISL,Europe,Northern Europe,2014,0.919,79,327318,82.86097561,52855.14048
India,IND,Asia,Southern Asia,2014,0.615,38,1295291543,68.021,1576.004018
Indonesia,IDN,Asia,South-eastern Asia,2014,0.686,34,254454778,68.856,3491.595887
Iraq,IRQ,Asia,Western Asia,2014,0.649,16,35273293,69.458,6703.074737
Ireland,IRL,Europe,Northern Europe,2014,0.92,74,4675164,81.34878049,55412.9286
Israel,ISR,Asia,Western Asia,2014,0.898,60,7939483,82.15365854,37539.95182
Italy,ITA,Europe,Southern Europe,2014,0.881,43,59788667,83.0902439,35396.66572
Jamaica,JAM,Americas,Latin America and the Caribbean,2014,0.729,38,2783301,75.689,4839.892104
Japan,JPN,Asia,Eastern Asia,2014,0.902,76,126794564,83.58780488,38109.41211
Jordan,JOR,Asia,Western Asia,2014,0.741,49,7416083,74.034,4066.940775
Kazakhstan,KAZ,Asia,Central Asia,2014,0.793,29,17371621,71.62,12807.26069
Kenya,KEN,Africa,Sub-Saharan Africa,2014,0.55,25,44863583,66.242,1335.123148
Kiribati,KIR,Oceania,Micronesia,2014,0.586,NA,110470,65.949,1626.893872
Kuwait,KWT,Asia,Western Asia,2014,0.799,44,3753121,74.458,42996.31522
Latvia,LVA,Europe,Northern Europe,2014,0.828,55,1989354,74.12439024,15716.36907
Lebanon,LBN,Asia,Western Asia,2014,0.763,27,5612096,79.231,8660.036928
Lesotho,LSO,Africa,Sub-Saharan Africa,2014,0.495,49,2109197,53.268,1218.466106
Liberia,LBR,Africa,Sub-Saharan Africa,2014,0.427,37,4396554,61.527,716.0529087
Libya,LBY,Africa,Northern Africa,2014,0.719,18,6258984,71.659,6631.529047
Lithuania,LTU,Europe,Northern Europe,2014,0.846,58,2916798,74.51707317,16545.12267
Luxembourg,LUX,Europe,Western Europe,2014,0.896,82,556573,82.22926829,119225.38
Madagascar,MDG,Africa,Sub-Saharan Africa,2014,0.511,28,23571713,65.133,452.4631926
Malawi,MWI,Africa,Sub-Saharan Africa,2014,0.473,33,16695253,61.932,354.3189898
Malaysia,MYS,Asia,South-eastern Asia,2014,0.787,52,29901997,74.976,11183.72943
Maldives,MDV,Asia,Southern Asia,2014,0.701,NA,357415,76.783,9056.65344
Mali,MLI,Africa,Sub-Saharan Africa,2014,0.438,32,17086022,57.007,845.720641
Malta,MLT,Europe,Southern Europe,2014,0.853,55,417723,81.94634146,25811.878
Mauritania,MRT,Africa,Sub-Saharan Africa,2014,0.513,30,3969625,62.907,1326.668654
Mauritius,MUS,Africa,Sub-Saharan Africa,2014,0.779,54,1268567,74.19439024,10153.93822
Mexico,MEX,Americas,Latin America and the Caribbean,2014,0.758,35,125385833,76.753,10582.41053
Mongolia,MNG,Asia,Eastern Asia,2014,0.733,39,2909871,68.847,4181.583313
Montenegro,MNE,Europe,Southern Europe,2014,0.804,42,625292,76.712,7378.341022
Morocco,MAR,Africa,Northern Africa,2014,0.645,39,33921203,75.309,3154.513484
Mozambique,MOZ,Africa,Sub-Saharan Africa,2014,0.414,31,27216276,57.099,623.2867539
Myanmar,MMR,Asia,South-eastern Asia,2014,0.552,21,53437159,66.285,1260.418504
Namibia,NAM,Africa,Sub-Saharan Africa,2014,0.637,49,2402858,62.981,5392.712421
Nepal,NPL,Asia,Southern Asia,2014,0.555,29,28174724,69.511,706.2386977
Netherlands,NLD,Europe,Western Europe,2014,0.923,83,16868020,81.70731707,52157.40687
New Zealand,NZL,Oceania,Australia and New Zealand,2014,0.913,91,4495482,81.40487805,44560.64037
Nicaragua,NIC,Americas,Latin America and the Caribbean,2014,0.642,28,6013913,74.884,1975.464707
Niger,NER,Africa,Sub-Saharan Africa,2014,0.351,35,19113728,59.228,429.7909578
Nigeria,NGA,Africa,Sub-Saharan Africa,2014,0.525,27,177475986,52.549,3221.678116
Norway,NOR,Europe,Northern Europe,2014,0.948,86,5147970,82.1,97199.9191
Oman,OMN,Asia,Western Asia,2014,0.795,45,4236057,76.578,20469.13865
Pakistan,PAK,Asia,Southern Asia,2014,0.548,29,185044286,66.139,1316.980966
Panama,PAN,Americas,Latin America and the Caribbean,2014,0.785,37,3867535,77.61,12787.3062
Papua New Guinea,PNG,Oceania,Melanesia,2014,0.515,25,7463577,65.23,2973.270549
Paraguay,PRY,Americas,Latin America and the Caribbean,2014,0.692,24,6552518,72.913,6146.664055
Peru,PER,Americas,Latin America and the Caribbean,2014,0.737,38,30973148,74.518,6492.053208
Philippines,PHL,Asia,South-eastern Asia,2014,0.679,38,99138690,68.813,2842.938353
Poland,POL,Europe,Eastern Europe,2014,0.852,61,38619974,77.60243902,14345.18606
Portugal,PRT,Europe,Southern Europe,2014,0.841,63,10402343,81.12195122,22077.53613
Qatar,QAT,Asia,Western Asia,2014,0.855,69,2172065,77.888,86852.71019
Romania,ROU,Europe,Eastern Europe,2014,0.798,43,19651554,74.96097561,10026.97358
Rwanda,RWA,Africa,Sub-Saharan Africa,2014,0.493,49,11341544,66.188,706.5967098
Samoa,WSM,Oceania,Polynesia,2014,0.702,52,191845,74.504,4187.230599
Sao Tome and Principe,STP,Africa,Sub-Saharan Africa,2014,0.565,42,186342,66.361,1824.379217
Saudi Arabia,SAU,Asia,Western Asia,2014,0.845,49,30886545,74.234,24575.40304
Senegal,SEN,Africa,Sub-Saharan Africa,2014,0.491,43,14672557,66.376,1359.189351
Serbia,SRB,Europe,Southern Europe,2014,0.775,41,8892815,75.33658537,6200.173221
Seychelles,SYC,Africa,Sub-Saharan Africa,2014,0.781,55,95868,73.22926829,14700.36313
Sierra Leone,SLE,Africa,Sub-Saharan Africa,2014,0.431,31,6315627,50.951,708.4394757
Singapore,SGP,Asia,South-eastern Asia,2014,0.924,84,5506586,82.49512195,56957.07857
Slovenia,SVN,Europe,Southern Europe,2014,0.888,58,2066068,81.07804878,24202.43084
Solomon Islands,SLB,Oceania,Melanesia,2014,0.514,NA,572171,70.113,2036.942056
South Africa,ZAF,Africa,Sub-Saharan Africa,2014,0.665,44,53969054,60.993,6429.02395
South Sudan,SSD,Africa,Sub-Saharan Africa,2014,0.421,15,11911184,55.817,1309.487381
Spain,ESP,Europe,Southern Europe,2014,0.882,60,46259716,83.22926829,29623.16445
Sri Lanka,LKA,Asia,Southern Asia,2014,0.764,38,20618991,74.906,3820.54065
Sudan,SDN,Africa,Northern Africa,2014,0.488,11,39350274,64.002,2176.898029
Suriname,SUR,Americas,Latin America and the Caribbean,2014,0.723,36,538248,71.138,9554.562288
Sweden,SWE,Europe,Northern Europe,2014,0.909,87,9703247,82.25365854,59180.19898
Switzerland,CHE,Europe,Western Europe,2014,0.938,86,8211383,83.19756098,86605.56338
Tajikistan,TJK,Asia,Central Asia,2014,0.625,23,8295840,70.69,1104.459019
Thailand,THA,Asia,South-eastern Asia,2014,0.738,38,67725979,74.895,5953.793928
Timor-Leste,TLS,Asia,South-eastern Asia,2014,0.603,28,1157360,68.285,3335.548567
Togo,TGO,Africa,Sub-Saharan Africa,2014,0.484,29,7115163,59.601,632.0313104
Tonga,TON,Oceania,Polynesia,2014,0.718,NA,105586,72.732,4196.470593
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,2014,0.779,38,1354483,70.426,20081.52191
Tunisia,TUN,Africa,Northern Africa,2014,0.723,40,11130154,75.335,4274.292832
Turkey,TUR,Asia,Western Asia,2014,0.764,45,77523788,75.239,12127.46146
Turkmenistan,TKM,Asia,Central Asia,2014,0.688,17,5307188,67.552,7962.365824
Uganda,UGA,Africa,Sub-Saharan Africa,2014,0.488,26,37782971,59.224,702.795104
Ukraine,UKR,Europe,Eastern Europe,2014,0.748,26,45002497,71.18658537,3104.658296
United Arab Emirates,ARE,Asia,Western Asia,2014,0.836,70,9086139,76.948,44443.06151
Uruguay,URY,Americas,Latin America and the Caribbean,2014,0.794,73,3419516,77.19,16737.89827
Uzbekistan,UZB,Asia,Central Asia,2014,0.697,18,29469913,71.039,2050.448414
Vanuatu,VUT,Oceania,Melanesia,2014,0.598,NA,258883,71.709,3148.365103
Zambia,ZMB,Africa,Sub-Saharan Africa,2014,0.576,38,15721343,60.775,1738.088202
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,2014,0.507,21,15245855,59.36,1264.983826
