country,country_code,continent,sub_region,year,human_development_index,corruption_perception_index,population,life_exp,gdp_per_capita
Italy,ITA,Europe,Southern Europe,2012,0.876,42,59737717,82.23902439,34814.12512
Jamaica,JAM,Americas,Latin America and the Caribbean,2012,0.727,38,2762965,75.334,5208.996089
Japan,JPN,Asia,Eastern Asia,2012,0.894,74,127139821,83.09609756,48603.47665
Jordan,JOR,Asia,Western Asia,2012,0.737,48,6994451,73.729,3870.753211
Kazakhstan,KAZ,Asia,Central Asia,2012,0.782,28,16821455,69.61,12386.7
Kenya,KEN,Africa,Sub-Saharan Africa,2012,0.541,27,42542978,64.907,1155.020583
Kiribati,KIR,Oceania,Micronesia,2012,0.589,NA,106620,65.623,1784.428931
Kuwait,KWT,Asia,Western Asia,2012,0.796,44,3419581,74.217,51264.07134
Latvia,LVA,Europe,Northern Europe,2012,0.814,49,2037090,73.77804878,13822.80559
Lebanon,LBN,Asia,Western Asia,2012,0.766,30,4924257,78.86,8959.258471
Lesotho,LSO,Africa,Sub-Saharan Africa,2012,0.484,45,2057331,52.158,1281.611508
Liberia,LBR,Africa,Sub-Saharan Africa,2012,0.419,41,4190155,60.615,650.7136207
Libya,LBY,Africa,Northern Africa,2012,0.735,21,6283403,71.574,13209.14078
Lithuania,LTU,Europe,Northern Europe,2012,0.834,54,3016496,73.86341463,14341.18163
Luxembourg,LUX,Europe,Western Europe,2012,0.892,80,532479,81.39268293,106749.0136
Madagascar,MDG,Africa,Sub-Saharan Africa,2012,0.508,32,22293720,64.28,443.9061001
Malawi,MWI,Africa,Sub-Saharan Africa,2012,0.459,37,15700436,59.927,374.5029326
Malaysia,MYS,Asia,South-eastern Asia,2012,0.779,49,29021940,74.606,10779.50751
Maldives,MDV,Asia,Southern Asia,2012,0.683,NA,344817,76.401,7473.195629
Mali,MLI,Africa,Sub-Saharan Africa,2012,0.421,34,16112333,56.122,777.3476868
Malta,MLT,Europe,Southern Europe,2012,0.828,57,415596,80.74634146,21916.97221
Mauritania,MRT,Africa,Sub-Saharan Africa,2012,0.501,31,3777067,62.492,1365.777822
Mauritius,MUS,Africa,Sub-Saharan Africa,2012,0.765,57,1258335,73.86341463,9291.227619
Mexico,MEX,Americas,Latin America and the Caribbean,2012,0.753,34,122070963,76.412,9940.468561
Mongolia,MNG,Asia,Eastern Asia,2012,0.72,36,2808339,68.215,4368.082248
Montenegro,MNE,Europe,Southern Europe,2012,0.799,41,623864,76.089,6586.719209
Morocco,MAR,Africa,Northern Africa,2012,0.634,37,32984190,74.717,2904.746728
Mozambique,MOZ,Africa,Sub-Saharan Africa,2012,0.405,31,25732928,55.878,566.051387
Myanmar,MMR,Asia,South-eastern Asia,2012,0.54,15,52543841,65.805,1175.561788
Namibia,NAM,Africa,Sub-Saharan Africa,2012,0.625,48,2291645,60.815,5749.404752
Nepal,NPL,Asia,Southern Asia,2012,0.545,27,27500515,68.732,681.7925868
Netherlands,NLD,Europe,Western Europe,2012,0.922,84,16749318,81.10487805,49474.70561
New Zealand,NZL,Oceania,Australia and New Zealand,2012,0.908,90,4435883,81.15609756,39970.25624
Nicaragua,NIC,Americas,Latin America and the Caribbean,2012,0.63,29,5877034,74.319,1792.038045
Niger,NER,Africa,Sub-Saharan Africa,2012,0.341,33,17635782,58.16,391.5182495
Nigeria,NGA,Africa,Sub-Saharan Africa,2012,0.514,27,168240403,51.699,2745.866752
Norway,NOR,Europe,Northern Europe,2012,0.942,85,5018367,81.45121951,101668.1707
Oman,OMN,Asia,Western Asia,2012,0.796,47,3545192,76.141,22134.80137
Pakistan,PAK,Asia,Southern Asia,2012,0.538,27,177392252,65.686,1261.208967
Panama,PAN,Americas,Latin America and the Caribbean,2012,0.773,38,3743761,77.216,10715.71661
Papua New Guinea,PNG,Oceania,Melanesia,2012,0.506,25,7154870,64.937,2865.873252
